domestic_revenue,foreign_revenue,genre,release_year,worldwide_revenue
215409889.0,330978219.0,"Adventure, Action, Thriller",2000,546388108.0
187705427.0,272878533.0,"Action, Drama, Adventure",2000,460583960.0
233632142.0,196000000.0,"Adventure, Drama",2000,429632142.0
182811707.0,191300000.0,"Comedy, Romance",2000,374111707.0
137748063.0,212074702.0,"Animation, Family, Adventure",2000,349822765.0
260745620.0,85096578.0,"Family, Comedy, Fantasy",2000,345842198.0
166244045.0,164200000.0,"Comedy, Romance",2000,330444045.0
182618434.0,146100000.0,"Action, Adventure, Drama, Thriller",2000,328718434.0
157299718.0,139039810.0,"Adventure, Action, Science Fiction",2000,296339528.0
155464351.0,135956000.0,"Drama, Horror, Mystery, Thriller",2000,291420351.0
157019771.0,121000000.0,Comedy,2000,278019771.0
125305545.0,138800000.0,"Action, Adventure, Comedy, Crime, Thriller",2000,264105545.0
125595205.0,130676081.0,Drama,2000,256271286.0
95011339.0,153106782.0,"Thriller, Drama, Mystery",2000,248118121.0
101648571.0,135553728.0,"Action, Crime, Thriller",2000,237202299.0
106834564.0,118000000.0,"Animation, Comedy, Family",2000,224834564.0
69243859.0,146420000.0,"Adventure, Action, Thriller",2000,215663859.0
113330342.0,101964000.0,"Drama, History, War, Action",2000,215294342.0
128078872.0,85446864.0,"Adventure, Drama, Action, Romance",2000,213525736.0
106807667.0,105935053.0,"Comedy, Crime, Action",2000,212742720.0
124115725.0,83400000.0,"Thriller, Drama, Crime",2000,207515725.0
73209340.0,117004115.0,"Action, Science Fiction, Thriller",2000,190213455.0
66957026.0,116654745.0,"Family, Comedy",2000,183611771.0
117559438.0,56400000.0,"Crime, Comedy",2000,173959438.0
89302687.0,80025000.0,"Adventure, Animation, Comedy, Family, Fantasy",2000,169327687.0
123309890.0,43030000.0,"Fantasy, Comedy, Romance, Science Fiction",2000,166339890.0
89143175.0,72691101.0,"Horror, Mystery",2000,161834276.0
71509363.0,81190583.0,"Comedy, Drama, Romance",2000,152699946.0
90570999.0,58700000.0,Comedy,2000,149270999.0
39785027.0,104271846.0,"Drama, Adventure, Romance, Thriller",2000,144056873.0
115654751.0,21051932.0,Drama,2000,136706683.0
43758684.0,90190586.0,"Adventure, Fantasy, Animation, Science Fiction, Family",2000,133949270.0
90464773.0,38419359.0,"Action, Adventure, Thriller",2000,128884132.0
77122415.0,50544000.0,"War, Action, Adventure",2000,127666415.0
75793305.0,48951778.0,"Comedy, Drama, Romance, Fantasy",2000,124745083.0
68540777.0,51213501.0,"Comedy, Adventure",2000,119754278.0
60786269.0,53130205.0,"Comedy, Drama, Music, Romance",2000,113916474.0
53331147.0,59549147.0,Horror,2000,112880294.0
60883407.0,50100000.0,"Science Fiction, Adventure, Thriller",2000,110983407.0
69691949.0,40625631.0,"Comedy, Drama",2000,110317580.0
21995263.0,87285000.0,"Drama, Comedy, Music",2000,109280263.0
70334258.0,36862240.0,"Action, Adventure, Crime, Thriller",2000,107196498.0
57262492.0,49109159.0,"Comedy, Crime",2000,106371651.0
61334059.0,42821784.0,"Horror, Science Fiction, Thriller",2000,104155843.0
76507756.0,26783375.0,"Family, Animation, Adventure, Comedy",2000,103291131.0
56937502.0,42336965.0,"Adventure, Action, Comedy, Western",2000,99274467.0
45554533.0,50605267.0,"Animation, Family, Comedy",2000,96159800.0
34604280.0,61481197.0,"Science Fiction, Action, Mystery, Drama",2000,96085477.0
55973336.0,35063424.0,"Action, Crime, Thriller",2000,91036760.0
60655420.0,30219150.0,"Animation, Family, Music",2000,90874570.0
37761915.0,52964753.0,"Drama, Romance",2000,90726668.0
68379000.0,22070929.0,Comedy,2000,90449929.0
37886980.0,52496228.0,"Fantasy, Comedy, Romance",2000,90383208.0
30328156.0,53229716.0,"Crime, Comedy",2000,83557872.0
48818921.0,33524574.0,Drama,2000,82343495.0
51804714.0,28245050.0,"Drama, History",2000,80049764.0
50863742.0,25568985.0,"Family, Adventure, Animation, Comedy, Fantasy",2000,76432727.0
46729800.0,26450923.0,"Comedy, Romance",2000,73180723.0
45512588.0,26355739.0,"Adventure, Comedy, Crime",2000,71868327.0
61335230.0,10397073.0,"War, Drama",2000,71732303.0
45010278.0,23095967.0,"Science Fiction, Thriller",2000,68106245.0
34592089.0,31987801.0,"History, Thriller",2000,66579890.0
32598931.0,30162074.0,"Thriller, Action, Drama",2000,62761005.0
60020107.0,2444624.0,"Comedy, Family, Adventure",2000,62464731.0
37170488.0,25028457.0,"Comedy, Drama",2000,62198945.0
626164.0,60100000.0,"Action, Comedy",2000,60726164.0
37047880.0,22897303.0,"Comedy, Romance",2000,59945183.0
57328603.0,2498725.0,Comedy,2000,59827328.0
35268275.0,24200000.0,"Comedy, Family, Romance",2000,59468275.0
39464775.0,18827520.0,"Comedy, Fantasy",2000,58292295.0
33519628.0,22187783.0,Drama,2000,55707411.0
36805288.0,16620004.0,"Drama, Romance",2000,53425292.0
39240659.0,13947000.0,"Thriller, Science Fiction, Action",2000,53187659.0
36050230.0,15829814.0,"Drama, Comedy",2000,51880044.0
35046120.0,15756000.0,"Crime, Drama, Thriller",2000,50802120.0
44737059.0,5317452.0,Comedy,2000,50054511.0
26437094.0,21300000.0,"Mystery, Thriller, Horror",2000,47737094.0
32534850.0,14848839.0,"Drama, Music",2000,47383689.0
28946615.0,18321214.0,"Mystery, Thriller",2000,47267829.0
27287137.0,19839158.0,"Drama, Comedy, Romance, Music",2000,47126295.0
33022767.0,14030858.0,"Thriller, Horror, Action, Fantasy",2000,47053625.0
12008642.0,32558964.0,"Horror, Drama, Thriller, Mystery",2000,44567606.0
33772838.0,7090880.0,"Comedy, Drama, Romance",2000,40863718.0
29381494.0,11061516.0,"Drama, Horror, Thriller, Crime",2000,40443010.0
30208599.0,10191826.0,"Crime, Action, Adventure",2000,40400425.0
4184036.0,35847843.0,"Drama, Crime",2000,40031879.0
30919168.0,8540259.0,"Drama, Fantasy",2000,39459427.0
21468807.0,17105555.0,"Horror, Mystery, Thriller",2000,38574362.0
38182790.0,0.0,"Comedy, Documentary",2000,38182790.0
22753426.0,14001208.0,"Animation, Action, Science Fiction, Family, Adventure",2000,36754634.0
32722798.0,3887197.0,"Romance, Comedy",2000,36609995.0
34134641.0,1413120.0,"Comedy, Drama, Family",2000,35547761.0
26005820.0,9129000.0,"Family, Adventure, Animation, Comedy, Fantasy",2000,35134820.0
15070285.0,19196279.0,"Thriller, Drama, Crime",2000,34266564.0
15391970.0,18586724.0,"Drama, Adventure, Fantasy",2000,33978694.0
17480890.0,15983079.0,"Thriller, Action, Science Fiction",2000,33463969.0
19393557.0,14033031.0,"Comedy, Drama",2000,33426588.0
23368995.0,8799975.0,"Thriller, Action, Crime",2000,32168970.0
16815253.0,14540657.0,"Horror, Thriller, Drama",2000,31355910.0
17266359.0,12668118.0,"Comedy, Crime",2000,29934477.0
21471685.0,8253978.0,"Science Fiction, Action, Adventure",2000,29725663.0
25170054.0,4190346.0,"Comedy, Crime, Thriller",2000,29360400.0
16970581.0,11809674.0,"Crime, Drama, Thriller",2000,28780255.0
13572400.0,14393465.0,"Family, Adventure, Comedy, Fantasy",2000,27965865.0
27459615.0,268503.0,"Comedy, Drama, Romance",2000,27728118.0
15627434.0,11910925.0,"Drama, Family, Music, Fantasy",2000,27538359.0
17200925.0,9185016.0,"Drama, Music",2000,26385941.0
12178602.0,14151880.0,"Crime, Comedy",2000,26330482.0
21799652.0,4050963.0,"Comedy, Drama, Romance",2000,25850615.0
20069008.0,4350906.0,"Comedy, Drama, Romance",2000,24419914.0
14990582.0,9372190.0,"Comedy, Drama, Romance",2000,24362772.0
13113041.0,9731250.0,"Comedy, Drama, Romance",2000,22844291.0
17872723.0,4489088.0,"Drama, Thriller",2000,22361811.0
18650521.0,2618011.0,Documentary,2000,21268532.0
18715392.0,2074164.0,Comedy,2000,20789556.0
15933506.0,3814503.0,"Animation, Drama, Family",2000,19748009.0
14967182.0,4445811.0,"Action, Drama, Thriller, Crime",2000,19412993.0
18661336.0,0.0,"Mystery, Thriller, Horror",2000,18661336.0
15618626.0,2786080.0,"Comedy, Romance",2000,18404706.0
15540353.0,2593142.0,"Drama, Romance, Western",2000,18133495.0
7065332.0,10923895.0,Drama,2000,17989227.0
11253900.0,5400000.0,"Animation, Comedy, Family, Fantasy, Science Fiction",2000,16653900.0
9631153.0,7012038.0,"Fantasy, Animation, Science Fiction, Family",2000,16643191.0
4544753.0,11804815.0,"Comedy, Drama, Romance",2000,16349568.0
15506764.0,400000.0,"Comedy, Crime, Mystery",2000,15906764.0
12811858.0,3031750.0,"Action, Adventure, Fantasy",2000,15843608.0
15325127.0,146842.0,"Action, Thriller, Crime",2000,15471969.0
14230455.0,597626.0,"Science Fiction, Horror, Thriller",2000,14828081.0
3448233.0,11045051.0,Drama,2000,14493284.0
6651522.0,7748805.0,"Romance, Drama, Adventure",2000,14400327.0
6291602.0,7854075.0,"Comedy, Drama, Romance, Science Fiction",2000,14145677.0
13616610.0,126602.0,Comedy,2000,13743212.0
13400161.0,0.0,Documentary,2000,13400161.0
13023075.0,82778.0,"Action, Comedy, Crime",2000,13105853.0
